Task ID,Task Summary,Assigned To,Key Deliverables,Files Involved,Dependencies,Estimated Time,Progress
T1,Farcaster Mini App Initialization - Frame-based chatbot input handling,You (Frontend),Frame SDK integration in index.ts; Frame text handler; Deployment configs,index.ts; vercel.json; farcaster.json; .env.example,Vercel account,4 hours,Not Started
T2,Frames Chat UI - Tailwind-based chat interface with buttons and text input,You (Frontend),Frame UI templates in formatters.ts; command buttons; styled output,src/utils/formatters.ts; src/utils/framesHelper.ts; src/commands/*,T1 (Frame setup); Tailwind CSS,6 hours,Not Started
T3,PNL Image Generation - html2canvas with ForgeBot branding,You (Frontend),pnlHandler; Table HTML; Image sharing via Frame,src/commands/pnl.ts; src/utils/formatters.ts; src/lib/history.ts,T2 (Frames UI); T6 (Database),4 hours,Not Started
T4,Command Handler Migration - Telegram to Frame inputs,You (Frontend),Updated buy/sell/balance/start handlers to Frame format,src/commands/buy.ts; src/commands/sell.ts; src/commands/balance-history.ts; src/commands/start-help.ts,T2 (Frames UI); T7 (Swap logic),5 hours,Not Started
T5,Deployment Configuration - Vercel setup and Sepolia testing,You (Frontend),Build/deploy scripts; working Vercel deployment; Sepolia testing,package.json; vercel.json; readme.md,T1 (Frame routes); Vercel account; Base Sepolia,3 hours,Not Started
T6,Supabase Migration - Replace SQLite and update schemas for FIDs,Collaborator (Backend),Supabase client; CRUD logic; tables with fid field,src/lib/database.ts; .env.example,Supabase account; T8 (Auth),5 hours,Not Started
T7,OpenOcean Swap - Integrate QuickNode's OpenOcean API,Collaborator (Backend),getQuote, getSwap logic; Updated buy/sell commands,src/lib/swap.ts; src/commands/buy.ts; src/commands/sell.ts; .env.example,QuickNode OpenOcean ($99/mo); T9 (Gas),4 hours,Not Started
T8,Farcaster Auth - Replace Telegram IDs with FIDs using Frame SDK,Collaborator (Backend),FID-based auth; wallet mapping; Welcome Frame,src/context.ts; src/lib/database.ts; src/commands/start-help.ts,T1 (Frame setup); T6 (Supabase),3 hours,Not Started
T9,Alchemy Gas Estimation - Use eth_feeHistory and cache gas data,Collaborator (Backend),getGasParams using Alchemy; 5–10s cache,src/lib/swap.ts; .env.example,Alchemy API key,3 hours,Not Started
T10,Blockbook Integration - Token balance and tx history,Collaborator (Backend),getTokenBalance and getBalanceHistory via Blockbook,src/lib/history.ts; .env.example,QuickNode Blockbook ($100/mo),4 hours,Not Started
T11,MEV Protection - Use QuickNode MEV RPC for safe execution,Collaborator (Backend),executeTransaction with MEV RPC,src/lib/token-wallet.ts; .env.example,QuickNode MEV RPC; T9 (Gas),3 hours,Not Started
T12,Revenue + Subscription - Add 1% fees, SuperForge subscription, referrals,Collaborator (Backend),Fee logic; Supabase subscription query; referrals table,src/lib/revenue.ts; src/lib/database.ts; src/commands/buy.ts; src/commands/sell.ts,T6 (Supabase),4 hours,Not Started
